faceOutline,chin,leftEyebrow,rightEyebrow,leftEye,leftIris,rightEye,rightIris,Nose,Mouth,lips,leftEar,rightEar,neckline
"225,63","220,321","160,179","251,166","178,193","186,190","263,193","270,189","226,245","203,281","212,283","128,205","325,200","133,287"
"230,63","224,319","166,175","256,165","182,191","187,194","265,190","271,194","220,242","206,275","217,279","124,201","328,195","139,293"
"238,64","234,313","173,170","261,164","185,188","190,196","270,188","277,196","215,237","214,270","227,278","120,196","330,191","144,297"
"242,67","230,315","181,166","270,163","194,187","196,196","276,187","283,194","216,230","225,263","237,277","114,191","330,201","153,307"
"250,71","239,314","188,163","276,163","201,188","199,194","284,186","284,189","221,227","237,263","248,277","108,190","330,210","163,314"
"259,75","249,313","194,163","283,163","206,190","199,191","291,187","280,186","227,222","250,265","259,278","103,195","330,216","176,322"
"266,78","255,313","204,162","292,162","211,194","194,188","296,189","274,186","229,211","260,264","271,278","102,203","330,223","189,328"
"274,83","262,315","213,163","298,162","208,198",,"300,195",,"230,201","272,265","276,279","100,214","330,231","201,334"
"280,89","270,317","222,165","302,165","203,199",,"296,197",,"230,192","281,269","273,283","102,222","329,241","215,339"
"288,95","274,320","227,170","305,169","195,200",,"289,200",,"254,191","284,278","262,285","108,230","330,250","228,343"
"294,105","277,326","230,175","307,173","189,201",,"282,202",,"254,202","285,287","252,287","108,238","326,258","237,345"
"301,110","278,333","225,178","308,180","182,200",,"277,201",,"256,210","278,291","244,288","110,245","322,262","252,346"
"307,118","218,325","220,177","304,178",,,"270,200",,"260,219","270,298","233,287","114,255",,"264,346"
"312,130","213,331","214,174","299,175",,,"266,198",,"266,226","258,301","224,287","118,262",,"278,342"
"317,137",,"210,173","293,173",,,,,"270,231","246,301","218,287","122,269",,"288,338"
"320,145",,"204,173","285,172",,,,,"271,239","234,301",,"127,269",,"295,332"
"322,155",,"198,173","271,173",,,,,"268,241","225,300",,"129,267",,"301,329"
"324,165",,"191,173","260,174",,,,,"264,244","215,299",,,,"300,338"
"324,176",,"183,173","251,174",,,,,"258,244","207,296",,,,"298,347"
"326,189",,"174,175",,,,,,"256,241","200,290",,,,"295,357"
"324,198",,"162,180",,,,,,"254,243","199,285",,,,"291,365"
"323,209",,,,,,,,"250,245",,,,,"288,373"
"324,217",,,,,,,,"246,248",,,,,"284,379"
"322,230",,,,,,,,"243,243",,,,,"281,386"
"324,241",,,,,,,,"240,238",,,,,"276,393"
"322,257",,,,,,,,"237,236",,,,,"268,401"
"322,266",,,,,,,,"233,237",,,,,"254,407"
"321,275",,,,,,,,"227,240",,,,,"262,407"
"318,284",,,,,,,,,,,,,"249,411"
"318,296",,,,,,,,,,,,,"242,413"
"313,307",,,,,,,,,,,,,"229,413"
"310,317",,,,,,,,,,,,,"217,410"
"302,322",,,,,,,,,,,,,"210,406"
"295,328",,,,,,,,,,,,,"205,403"
"284,333",,,,,,,,,,,,,"200,399"
"278,339",,,,,,,,,,,,,"195,393"
"272,341",,,,,,,,,,,,,"188,389"
"266,343",,,,,,,,,,,,,"184,383"
"259,343",,,,,,,,,,,,,"178,377"
"250,343",,,,,,,,,,,,,"174,373"
"244,344",,,,,,,,,,,,,"169,369"
"238,345",,,,,,,,,,,,,"164,366"
"232,343",,,,,,,,,,,,,"156,359"
"222,342",,,,,,,,,,,,,"148,353"
"215,340",,,,,,,,,,,,,"142,346"
"208,338",,,,,,,,,,,,,"138,340"
"198,337",,,,,,,,,,,,,"136,334"
"189,334",,,,,,,,,,,,,"136,327"
"178,331",,,,,,,,,,,,,"133,318"
"172,329",,,,,,,,,,,,,"132,312"
"168,326",,,,,,,,,,,,,"132,305"
"164,322",,,,,,,,,,,,,"130,298"
"159,319",,,,,,,,,,,,,"130,291"
"156,315",,,,,,,,,,,,,
"149,309",,,,,,,,,,,,,
"142,301",,,,,,,,,,,,,
"140,297",,,,,,,,,,,,,
"137,293",,,,,,,,,,,,,
"135,287",,,,,,,,,,,,,
"136,275",,,,,,,,,,,,,
"134,279",,,,,,,,,,,,,
"134,267",,,,,,,,,,,,,
"133,258",,,,,,,,,,,,,
"133,247",,,,,,,,,,,,,
"136,241",,,,,,,,,,,,,
"134,231",,,,,,,,,,,,,
"132,217",,,,,,,,,,,,,
"132,207",,,,,,,,,,,,,
"130,201",,,,,,,,,,,,,
"125,195",,,,,,,,,,,,,
"120,191",,,,,,,,,,,,,
"119,183",,,,,,,,,,,,,
"118,175",,,,,,,,,,,,,
"118,169",,,,,,,,,,,,,
"119,161",,,,,,,,,,,,,
"120,152",,,,,,,,,,,,,
"122,144",,,,,,,,,,,,,
"125,136",,,,,,,,,,,,,
"126,129",,,,,,,,,,,,,
"130,118",,,,,,,,,,,,,
"135,107",,,,,,,,,,,,,
"140,101",,,,,,,,,,,,,
"148,93",,,,,,,,,,,,,
"159,89",,,,,,,,,,,,,
"168,80",,,,,,,,,,,,,
"177,77",,,,,,,,,,,,,
"186,72",,,,,,,,,,,,,
"195,68",,,,,,,,,,,,,
"204,65",,,,,,,,,,,,,
"214,63",,,,,,,,,,,,,
