faceOutline,chin,leftEyebrow,rightEyebrow,leftEye,leftIris,rightEye,rightIris,Nose,Mouth,lips,leftEar,rightEar,hair,neckLine,rightJaw,leftJaw
"232,463","226,453","194,317","289,278","196,317","212,303","298,295","315,289","252,289","231,403","237,403","151,318","397,314","171,341","212,458","395,275","183,268"
"226,463","234,460","190,307","300,272","199,309","217,301","304,291","322,289","258,298","236,397","241,398","154,312","400,307","168,335","216,466","400,280","180,275"
"217,459","243,469","188,297","310,267","207,303","222,307","312,288","330,287","259,308","241,393","247,394","159,308","402,299","167,329","219,475","406,283","178,281"
"210,453","257,472","191,286","324,266","218,301","225,302","321,288","334,291","258,318","247,389","252,391","163,314","402,293","166,323","222,483","408,288","176,288"
"204,446","273,470","197,276","336,264","228,299","230,301","330,288","332,296","255,327","253,386","258,389","165,322","409,291","165,318","224,493","402,292","176,296"
"198,439","288,467","209,271","348,263","237,298","230,307","338,291","325,299","252,336","262,385","264,389","167,329","411,285","163,311","227,503","401,298","177,305"
"191,429","303,467","218,277","356,268","245,304","223,311","346,293","317,298","250,343","271,386","270,390","168,336","415,278","162,304","232,511","398,306","177,312"
"186,420","318,460","229,276","354,277","234,310","216,312","348,298","317,294","241,344","277,388","276,391","173,338","420,276","163,295","237,519","395,313","177,319"
"182,408","328,451","239,278","345,272","222,311","215,307","338,300","315,289","241,354","282,385","282,389","173,344","425,280","162,288","239,527","395,321","176,326"
"180,397","335,444","209,281","289,278","209,315","212,303","327,299","322,289","248,358","289,382","288,388","174,351","428,285","163,281","242,536","394,328","179,332"
"178,386",,"204,288","300,272","202,317","217,301","318,300","330,287","257,356","297,383","294,387","172,357","430,291","164,275","245,544","394,336","180,337"
"176,375",,"198,294","310,267","196,317","222,307","308,301","334,291","264,357","304,386","299,388","172,364","430,301","166,270","250,551","394,342","182,343"
"176,365",,"196,302","324,266","199,309","225,302","301,299","332,296","268,360","312,389","305,391","174,370","427,311","166,264","257,558","394,350","183,350"
"175,355",,"194,317","336,264","207,303","230,301","298,295",,"274,358","318,390","311,392","176,378","425,318","168,259","264,565","393,356","184,358"
"173,345",,"190,307",,"218,301","230,307","304,291",,"280,354","323,393","317,393","176,384","420,325","166,253","272,571","392,362","184,364"
"171,336",,"188,297",,"228,299",,"312,288",,"289,354","318,399","321,393","177,390","420,331","166,247","281,575","391,366","184,368"
"168,327",,"191,286",,,,"321,288",,"295,354","313,404","318,395","173,393","417,338","165,242","290,579","394,370","183,375"
"166,317",,"197,276",,,,"330,288",,"304,353","307,408","311,399","168,388","414,344","166,236","300,582","392,380","182,381"
"164,309",,"209,271",,,,"338,291",,"306,347","297,412","305,402","164,382","415,348","168,230","309,581","391,388","182,387"
"168,302",,,,,,"346,293",,"301,340","290,415","297,403","166,375","416,353","168,226","318,577","389,394","181,392"
"171,295",,,,,,"348,298",,"292,337","280,417","290,406","167,368","414,359","169,221","326,571","388,400","180,397"
"174,288",,,,,,,,"286,331","270,417","283,407","164,361","410,364","171,217","335,567","385,408",
"178,281",,,,,,,,"283,324","261,417","276,409","162,354","405,368","172,212","343,561","382,414",
"183,273",,,,,,,,"282,318","252,417","269,410","159,348","398,370","176,208","350,557","378,422",
"190,265",,,,,,,,"282,311","244,417","261,409","154,340","392,368","176,203","359,552","374,429",
"192,257",,,,,,,,"283,304","240,411","254,409","152,334","393,362","180,198","366,546","370,435",
"197,250",,,,,,,,"284,297","234,407","248,409","151,327","394,355","184,193","374,541","365,440",
"198,241",,,,,,,,"285,289","231,403","244,408","151,318","395,345","187,187","381,534","360,447",
"196,233",,,,,,,,,"236,397","241,405","154,312","397,337","192,180","386,525","355,450",
"195,225",,,,,,,,,"241,393","237,403","159,308","400,331","192,174","393,517","348,454",
"196,218",,,,,,,,,"247,389","241,398","163,314","398,325","194,167","397,509","342,456",
"197,209",,,,,,,,,"253,386","247,394","165,322","397,320","200,165","402,501","335,457",
"200,203",,,,,,,,,"262,385","252,391","167,329","397,314","206,161","405,493",,
"204,197",,,,,,,,,"271,386","258,389","168,336","400,307","212,159","409,485",,
"209,189",,,,,,,,,"277,388","264,389","173,338","402,299","217,155","412,477",,
"214,183",,,,,,,,,"282,385","270,390","173,344","402,293","223,151","414,469",,
"219,177",,,,,,,,,"289,382","276,391","174,351","409,291","227,149","415,461",,
"228,175",,,,,,,,,"297,383","282,389","172,357","411,285","234,148","413,454",,
"236,176",,,,,,,,,"304,386","288,388","172,364","415,278","240,147","408,450",,
"244,178",,,,,,,,,"312,389","294,387","174,370","420,276","248,146","402,445",,
"251,179",,,,,,,,,"318,390","299,388",,"425,280","253,143","398,442",,
"258,178",,,,,,,,,,"305,391",,"428,285","258,143","394,436",,
"265,181",,,,,,,,,,"311,392",,"430,291","264,143","392,430",,
"272,179",,,,,,,,,,"317,393",,"430,301","272,143","390,423",,
"280,177",,,,,,,,,,,,"427,311","279,141","388,415",,
"288,173",,,,,,,,,,,,"425,318","285,141","387,407",,
"298,173",,,,,,,,,,,,"420,325","293,141","389,398",,
"308,175",,,,,,,,,,,,"420,331","299,143","392,391",,
"318,178",,,,,,,,,,,,"417,338","308,145","392,382",,
"326,181",,,,,,,,,,,,,"315,143","392,375",,
"333,186",,,,,,,,,,,,,"321,145",,,
"332,193",,,,,,,,,,,,,"327,145",,,
"331,198",,,,,,,,,,,,,"329,145",,,
"336,201",,,,,,,,,,,,,"335,146",,,
"339,203",,,,,,,,,,,,,"340,148",,,
"345,207",,,,,,,,,,,,,"344,149",,,
"351,211",,,,,,,,,,,,,"348,151",,,
"356,215",,,,,,,,,,,,,"354,153",,,
"359,219",,,,,,,,,,,,,"360,157",,,
"354,220",,,,,,,,,,,,,"366,159",,,
"350,225",,,,,,,,,,,,,"373,164",,,
"348,229",,,,,,,,,,,,,"378,168",,,
"355,229",,,,,,,,,,,,,"384,173",,,
"360,228",,,,,,,,,,,,,"390,179",,,
"364,233",,,,,,,,,,,,,"394,184",,,
"360,239",,,,,,,,,,,,,"398,189",,,
"362,244",,,,,,,,,,,,,"398,197",,,
"364,249",,,,,,,,,,,,,"398,202",,,
"370,253",,,,,,,,,,,,,"400,207",,,
"376,256",,,,,,,,,,,,,"403,211",,,
"383,257",,,,,,,,,,,,,"404,214",,,
"387,263",,,,,,,,,,,,,"404,217",,,
"394,270",,,,,,,,,,,,,"404,222",,,
"390,278",,,,,,,,,,,,,"404,227",,,
